!!! Retrieved on 2022-05-21-10:57:03.140120 !!!
address,location
"вул.Алма-Атинська 39з, Київ","50.44331,30.66522"
"пр.Перемоги 119/121 (Поліклініка), Київ","50.45319,30.36373"
"вул.Митрополита Андрея Шептицького 24, Київ","50.45733,30.59298"
"пр.Возз'єднання 5, Київ","50.44009,30.61956"
"бул.Перова 24, Київ","50.48013,30.59522"
"вул.Краківська 13 (вхід з вул. Попудренка або Мініна лікарня №2), Київ","50.45679,30.62374"
"вул.Миколи Кибальчича 13а, Київ","50.49295,30.60043"
"пр.Соборності 6, Київ","50.44184,30.62228"
"вул.Курнатовського 13а, Київ","50.4862,30.60245"
"бул.Праці 2/27, Київ","50.45253,30.62105"
"вул.Братиславська 20, Київ","50.46825,30.6261"
"вул.Академіка Корольова 8, Київ","50.42921,30.39331"
"вул.Воскресенська 12в, Київ","50.46714,30.60313"
"вул.Краківська 13 (КМКЛ №2, Опіковий центр), Київ","50.4567,30.62352"
"вул.Щусєва 2/19, Київ","50.47416,30.44743"
"вул.Шолом-Алейхема 3, Київ","50.47144,30.62622"
"вул.Митрополита Андрея Шептицького 24, Київ","50.45805,30.59235"
"вул.Кисловодська 20, Київ","50.47224,30.66863"
"вул.Петра Запорожця 28, Київ","50.47993,30.60612"
"вул.Теодора Драйзера 8, Київ","50.50281,30.60519"
