address,location

"вул.Березняківська 36Ж, Київ","50.42382,30.59844"

"пр.Павла Тичини 10, Київ","50.4274,30.59637"

"пр.Павла Тичини 2, Київ","50.42748,30.59364"

"пр.Павла Тичини 1В (ТЦ Silver Breeze), Київ","50.42805,30.59328"

"вул.Юрія Шумського 1, Київ","50.4265,30.60327"

"пр.Павла Тичини 7, Київ","50.42809,30.6007"

"вул.Івана Миколайчука 3А, Київ","50.43071,30.59611"

"вул.Івана Миколайчука 7а, Київ","50.43195,30.59924"

"вул.Амвросія Бучми 2, Київ","50.43309,30.60207"

"пр.Павла Тичини 26д, Київ","50.43082,30.60906"

"вул.Березняківська 8, Київ","50.43462,30.61281"

"вул.Ентузіастів 13А, Київ","50.4385,30.60284"

"наб.Русанівська 12, Київ","50.44089,30.59235"

"вул.Регенераторна 4 (корп. 11), Київ","50.43517,30.6188"

"вул.Регенераторна 4 корп.10-5 (на території під охороною, у разі складнощів,телефонуйте), Київ","50.43594,30.61825"

"вул.Ентузіастів 37, Київ","50.44291,30.59939"

"вул.Регенераторна 4 (корпус 5), Київ","50.43531,30.62268"

"наб.Русанівська 20, Київ","50.44407,30.59174"

"вул.Регенераторна 4, Київ","50.43792,30.62056"

"наб.Русанівська 24/51, Київ","50.44518,30.59187"

"пр.Возз'єднання 5, Київ","50.44009,30.61956"

"вул.Тампере 12, Київ","50.44302,30.61379"

"вул.Євгена Сверстюка 6, Київ","50.44707,30.60386"

"ш.Харківське 16Д, Київ","50.43551,30.63011"

"пр.Соборності 6, Київ","50.44184,30.62228"

"ш.Харківське 19 (ТЦ ""Мегасіті""), Київ","50.43218,30.63391"

"вул.Раїси Окіпної 9, Київ","50.4484,30.59288"

"вул.Раїси Окіпної 10А, Київ","50.44818,30.5898"

"пр.Возз'єднання 4, Київ","50.44214,30.62337"

"вул.Харківське шосе 17А, Київ","50.43356,30.63475"

"вул.Раїси Окіпної 4, Київ","50.45011,30.59566"

"вул.Євгена Сверстюка 7 (праворуч від Roshen), Київ","50.45012,30.59965"

"вул.Євгена Сверстюка 2Б, Київ","50.45076,30.59781"

"пр.Юрія Гагаріна 2/35, Київ","50.44423,30.62696"

"вул.Лаврська 8, Київ","50.43674,30.55261"

"вул.Микільсько-Слобідська 2Б (пр. 292), Київ","50.45422,30.59213"

"вул.Привокзальна 14, Київ","50.42972,30.64476"

"вул.Микільсько-Слобідська 6Б, Київ","50.45411,30.58881"

"вул.Будівельників 36, Київ","50.45316,30.61173"

"вул.Михайла Драгомирова 10А, Київ","50.41451,30.54658"

"бул.Дружби Народів 30/1, Київ","50.41761,30.54533"

"бул.Праці 2/27, Київ","50.45253,30.62105"

"вул.Азербайджанська 8Б, Київ","50.44139,30.64141"

"вул.Митрополита Андрея Шептицького 24, Київ","50.45733,30.59298"

"ш.Харківське 144В, Київ","50.42115,30.65098"

"вул.Митрополита Андрея Шептицького 5, Київ","50.45768,30.58868"

"вул.Митрополита Андрея Шептицького 24, Київ","50.45805,30.59235"

"вул.Попудренка 26/9, Київ","50.45558,30.61781"

"вул.Митрополита Андрея Шептицького 5, Київ","50.45812,30.58875"

"бул.Верховної Ради 31, Київ","50.45186,30.62966"

"вул.Михайла Драгомирова 20, Київ","50.40942,30.54425"

"вул.Андрія Малишка 1 (автопарковка Готелю Братислава), Київ","50.45786,30.61074"

"бул.Верховної Ради 33/1, Київ","50.45227,30.63046"

"вул.Андрія Малишка 3, Київ","50.45834,30.61369"

"вул.Андрія Аболмасова 6, Київ","50.4594,30.58542"

"вул.Краківська 13 (КМКЛ №2, Опіковий центр), Київ","50.4567,30.62352"

"вул.Краківська 13 (вхід з вул. Попудренка або Мініна лікарня №2), Київ","50.45679,30.62374"

"бул.Дарницький 5, Київ","50.46083,30.61417"

"вул.Попудренка 36, Київ","50.45798,30.62577"

"вул.Каховська 62А (біля Арома Кава), Київ","50.46276,30.59264"

"вул.Каховська 60, Київ","50.46273,30.59088"

"вул.Гната Хоткевича 10, Київ","50.45639,30.63195"

"вул.Гната Хоткевича 8, Київ","50.45703,30.63148"

"вул.Гната Хоткевича 1Б (Ашан), Київ","50.45461,30.63789"

"вул.Попудренка 46/2 (Літ.А), Київ","50.45905,30.6302"

"бул.Дарницький 8А (в приміщенні магазину Сільпо), Київ","50.46443,30.61022"

"ш.Харківське 121 (КДЦ №2 Дарницького району), Київ","50.41581,30.66262"

"вул.Юності 6А, Київ","50.46382,30.61818"

"вул.Джона Маккейна 7Б (в приміщенні Смарт Медікал клініки), Київ","50.4145,30.52914"

"пров.Лабораторний 18, Київ","50.42795,30.52781"

"вул.Воскресенська 12в, Київ","50.46714,30.60313"

"вул.Миропільська 1, Київ","50.46296,30.6276"

"вул.Воскресенська 12А, Київ","50.46805,30.60251"

"вул.Братиславська 8, Київ","50.4648,30.62837"

"вул.Воскресенська 18, Київ","50.47023,30.60227"

"вул.Алма-Атинська 39з, Київ","50.44331,30.66522"

"вул.Алма-Атинська 39-З, Київ","50.4434,30.66517"

